Resultats per municipi - 2017

;;;;;;;;;;;;;;;;Ciutadans-Partido de la Ciudadanía (C's);;Junts per Catalunya (JUNTSxCAT);;Esquerra Republicana-Catalunya Sí (ERC-CatSí);;Partit dels Socialistes de Catalunya (PSC-PSOE) (PSC);;Catalunya en Comú-Podem (CatComú-Podem);;Candidatura d'Unitat Popular (CUP);;Partit Popular / Partido Popular (PP);;Partit Animalista contra el Maltractament Animal (PACMA);;Recortes Cero-Grupo Verde (RECORTES CERO-GRUPO VERDE);;Per un Món Més Just (PU M+J);;Diàleg Republicà (Candidatura retirada) (DIÀLEG (C. RETIRADA));;
Codi circumscripció;Codi municipi;Nom municipi;Cens electoral;Votants;% votants;Abstenció;% abstenció;Vots nuls;% vots nuls;Vots en blanc;% vots en blanc; Vots a candidatures;% vots a candidatures;Vots vàlids;% vots vàlids;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Codi comarca;Nom comarca;
08;052;Castellar de n'Hug                                ;       138;       123;089,13;        15;010,87;         0;000,00;         0;000,00;       123;100,00;       123;100,00;         6;004,88;        76;061,79;        27;021,95;         3;002,44;         1;000,81;         3;002,44;         6;004,88;         1;000,81;         0;000,00;         0;000,00;         0;000,00;14;Berguedà                                ;
08;053;Castellbell i el Vilar                            ;     2.844;     2.248;079,04;       596;020,96;         5;000,22;         8;000,36;     2.235;099,42;     2.243;099,78;       542;024,16;       543;024,21;       546;024,34;       295;013,15;       127;005,66;        98;004,37;        68;003,03;        15;000,67;         1;000,04;         0;000,00;         0;000,00;07;Bages                                   ;
08;054;Castellbisbal                                     ;     9.097;     7.659;084,19;     1.438;015,81;        30;000,39;        56;000,73;     7.573;098,88;     7.629;099,61;     2.351;030,82;     1.069;014,01;     1.641;021,51;     1.094;014,34;       687;009,01;       347;004,55;       263;003,45;        96;001,26;        25;000,33;         0;000,00;         0;000,00;40;Vallès Occidental                       ;
08;055;Castellcir                                        ;       521;       446;085,60;        75;014,40;         2;000,45;         2;000,45;       442;099,10;       444;099,55;        53;011,94;       180;040,54;       132;029,73;        17;003,83;        11;002,48;        40;009,01;         7;001,58;         2;000,45;         0;000,00;         0;000,00;         0;000,00;42;Moianès                                 ;
08;056;Castelldefels                                     ;    42.657;    34.761;081,49;     7.896;018,51;        90;000,26;       170;000,49;    34.501;099,25;    34.671;099,74;    12.258;035,36;     4.215;012,16;     5.817;016,78;     5.774;016,65;     3.003;008,66;       814;002,35;     2.077;005,99;       418;001,21;       125;000,36;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;057;Castell de l'Areny                                ;        65;        55;084,62;        10;015,38;         0;000,00;         0;000,00;        55;100,00;        55;100,00;         1;001,82;        32;058,18;        13;023,64;         0;000,00;         2;003,64;         6;010,91;         1;001,82;         0;000,00;         0;000,00;         0;000,00;         0;000,00;14;Berguedà                                ;
08;058;Castellet i la Gornal                             ;     1.746;     1.421;081,39;       325;018,61;         8;000,56;         5;000,35;     1.408;099,09;     1.413;099,44;       350;024,77;       334;023,64;       297;021,02;       199;014,08;        91;006,44;        55;003,89;        59;004,18;        21;001,49;         2;000,14;         0;000,00;         0;000,00;03;Alt Penedès                             ;
08;059;Castellfollit del Boix                            ;       343;       297;086,59;        46;013,41;         0;000,00;         3;001,01;       294;098,99;       297;100,00;        30;010,10;       136;045,79;        87;029,29;         7;002,36;         5;001,68;        24;008,08;         5;001,68;         0;000,00;         0;000,00;         0;000,00;         0;000,00;07;Bages                                   ;
08;060;Castellfollit de Riubregós                        ;       143;       130;090,91;        13;009,09;         0;000,00;         0;000,00;       130;100,00;       130;100,00;        15;011,54;        67;051,54;        25;019,23;         8;006,15;         5;003,85;         5;003,85;         5;003,85;         0;000,00;         0;000,00;         0;000,00;         0;000,00;06;Anoia                                   ;
08;061;Castellgalí                                       ;     1.594;     1.311;082,25;       283;017,75;         5;000,38;         9;000,69;     1.297;098,93;     1.306;099,62;       341;026,11;       299;022,89;       262;020,06;       172;013,17;       112;008,58;        56;004,29;        39;002,99;        14;001,07;         2;000,15;         0;000,00;         0;000,00;07;Bages                                   ;
